intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.00002	344.7	1439.3	2556.7	3518.0	4723.6
0.00006	340.2	1454.6	2612.2	3748.5	--undefined--
0.00007	340.4	1483.9	2802.6	3478.5	--undefined--
0.0004	361.0	1376.7	2556.4	3528.2	--undefined--
0.002	420.8	829.0	2521.4	3324.9	--undefined--
0.009	560.2	890.6	2691.2	3296.5	--undefined--
0.011	701.9	1177.3	2809.1	3402.1	--undefined--
0.018	811.5	1163.9	2750.3	2976.1	3653.2
0.018	900.2	1186.7	2727.2	3214.1	3713.7
0.022	971.0	1307.0	2668.9	3389.7	--undefined--
0.022	923.8	1467.3	2677.0	3335.1	3644.3
0.036	963.8	1593.4	2415.0	3395.5	3838.4
0.072	832.3	1679.2	2439.9	3298.5	3817.2
0.072	774.1	1793.2	2616.4	3771.8	4391.6
0.071	688.9	1862.2	2804.8	3143.6	3952.3
0.018	535.7	1936.0	2757.5	3832.6	3935.9
0.018	493.7	2017.0	2686.0	3829.9	4229.3
0.010	518.5	2007.8	2836.6	3654.4	4674.6
0.006	437.3	1900.2	2925.6	3545.0	4163.3
0.004	428.7	1971.4	2792.4	3485.0	4744.1
0.004	456.7	1973.4	2695.4	3449.4	4362.5
0.003	411.5	2088.2	2809.6	3426.8	--undefined--
0.004	367.6	2217.7	2883.7	3498.0	--undefined--
0.006	368.2	2279.5	2859.6	3420.4	--undefined--
0.007	380.0	2255.6	2844.0	3484.2	--undefined--
0.007	387.1	2020.8	2279.0	2767.0	3497.8
0.005	353.6	1699.7	2251.3	2767.9	3791.3
0.001	350.8	2062.6	2660.5	3338.2	3920.3
0.0005	1873.5	2537.4	3341.3	4564.3	--undefined--
0.0002	1818.3	2634.2	3541.2	4776.1	--undefined--
0.0002	761.0	1688.8	2544.6	3472.2	4694.3
0.0002	1535.8	2457.4	3309.8	4410.1	--undefined--
0.0008	393.7	1553.8	2427.4	3530.0	4455.7
0.006	449.0	1559.5	2369.1	3231.4	--undefined--
0.020	602.0	1589.9	2487.0	3376.1	4858.8
0.020	727.9	1500.9	2747.5	3348.0	--undefined--
0.019	754.2	1527.2	2539.4	3320.1	5125.6
0.019	744.8	1596.9	2475.1	3299.1	5083.4
0.015	660.0	1617.1	2363.3	3366.6	4613.5
0.015	586.8	1564.6	2218.6	3475.8	3822.6
0.014	539.8	1464.2	2071.9	3415.0	3723.6
0.007	413.0	1304.8	2042.5	3387.9	3895.3
0.002	393.7	1256.6	2065.1	3373.5	4945.2
0.0009	380.9	1282.9	2177.0	3395.4	--undefined--
0.0003	408.8	1405.7	2337.7	3330.1	4808.9
0.0006	437.8	1260.8	2514.2	3461.6	--undefined--
0.0008	481.1	1223.4	2642.2	3532.5	--undefined--
0.010	434.2	1044.1	2386.1	3428.8	3823.8
0.010	549.5	901.1	2383.0	3303.1	3641.7
0.008	641.9	1071.6	2587.1	3648.3	4024.1
0.025	1205.4	1343.9	2733.1	3700.3	4498.8
0.025	1255.1	1343.9	2589.8	3194.7	4211.3
0.017	1301.0	1586.5	2911.3	3190.8	4060.0
0.044	1354.7	1585.4	2646.9	3500.1	4130.9
0.044	1383.6	1681.5	2151.1	2831.8	4049.4
0.154	857.0	1590.9	2753.7	3629.7	--undefined--
0.154	906.2	1457.6	2610.5	2849.0	3698.1
0.107	901.8	1420.1	2526.9	3301.5	3776.7
0.082	816.7	1440.3	2403.7	3378.6	3793.0
0.039	714.0	1560.1	2582.8	2912.2	3890.9
0.039	656.7	1550.1	2333.7	2973.6	3885.4
0.002	476.6	1539.5	2597.0	2696.8	3846.7
0.0009	518.5	1486.1	2637.1	3300.7	3823.8
0.0009	437.9	2027.4	2688.3	3665.6	4786.8
0.0008	522.7	2085.7	2716.9	3579.7	4067.4
0.001	497.8	2121.3	2569.3	3570.8	3905.3
0.001	461.2	1915.4	2362.1	3433.0	3806.3
0.0006	465.5	1890.3	2509.3	3521.1	4285.4
0.0002	443.3	1702.7	2690.0	3731.0	4586.9
0.0002	117.2	1622.0	2645.7	3738.5	4678.6
0.00007	459.6	1561.3	2814.8	4004.9	4709.2
0.0003	447.3	1515.4	2566.5	3955.4	4852.7
0.002	481.9	1481.7	2500.0	3621.2	4811.5
0.020	649.6	1524.1	2458.7	3579.3	4832.5
0.021	659.5	1557.6	2491.6	3580.7	--undefined--
0.021	693.0	1569.4	2460.3	3609.1	4679.0
0.019	676.2	1553.5	2444.4	3665.5	4201.4
0.017	635.6	1513.6	2469.9	3731.7	3805.8
0.012	628.0	1444.9	2462.4	3718.9	3996.2
0.0009	623.1	1532.8	2567.0	3667.8	--undefined--
0.00008	578.2	1539.1	2580.8	3614.3	--undefined--
0.00005	613.6	1636.2	2697.2	3730.1	5075.9
0.00002	658.6	1525.6	2750.6	3704.2	5083.8
0.0006	653.7	1545.6	2774.8	3734.8	5326.1
0.0008	706.0	1772.9	3231.1	3675.5	4819.6
0.003	354.1	1888.6	3317.7	4199.4	4773.2
0.058	468.8	1613.9	2575.3	3694.0	4792.6
0.115	488.6	1949.8	2597.5	3675.1	--undefined--
0.115	288.9	2048.6	2772.3	3518.4	4916.6
0.071	2117.3	2689.1	3309.1	4967.2	--undefined--
0.042	278.3	2098.0	2354.7	3268.4	3476.8
0.028	326.8	2172.8	2377.4	3148.3	3677.1
0.016	310.9	2198.2	2751.1	3729.2	4247.1
0.002	2057.4	2955.4	3785.2	4564.4	--undefined--
0.0010	2193.6	3016.1	4254.2	4948.7	--undefined--
0.001	1969.0	2809.8	3795.7	4653.0	--undefined--
0.001	1841.2	1879.7	2681.8	3639.8	4687.1
0.001	1557.0	2746.3	3305.7	4407.2	--undefined--
0.00003	1501.8	2505.6	3285.8	4084.3	--undefined--
0.000010	1293.8	2389.9	2825.7	3616.7	--undefined--
0.001	1275.3	2235.6	3595.4	4548.9	--undefined--
0.007	1263.5	2154.4	2897.1	3917.3	4308.6
0.043	1467.3	2408.7	3895.1	4268.5	--undefined--
0.047	712.1	1631.7	2676.7	3838.9	4126.1
0.097	749.0	1516.9	2410.7	3709.2	4534.0
0.106	890.0	1069.9	2743.4	3792.2	5006.7
0.106	843.3	1260.3	2633.6	3665.9	5412.8
0.051	839.4	1244.9	2779.4	3620.1	5138.5
0.047	842.8	1315.6	2767.3	3867.8	5057.3
0.061	874.7	1269.8	2918.3	3801.8	--undefined--
0.061	892.1	1323.8	3034.1	3771.4	--undefined--
0.060	899.8	1478.2	2823.0	3762.2	--undefined--
0.068	935.9	1467.8	2816.8	3815.5	4682.2
0.074	942.2	1510.2	2555.8	3726.8	4837.7
0.074	646.2	1513.9	2447.1	4081.6	4219.2
0.029	914.3	1648.8	2394.3	3989.4	4668.6
0.002	769.0	1933.9	3290.1	4242.2	--undefined--
0.001	885.3	1505.3	2679.0	3927.4	4845.7
0.0002	1017.4	1417.2	2467.1	3794.5	--undefined--
0.00005	825.4	1565.8	2787.2	4072.2	--undefined--
0.0009	905.7	1532.9	2846.9	4113.0	--undefined--
0.002	1188.8	2394.4	3767.6	4620.5	--undefined--
0.004	383.2	1935.4	2698.7	4177.0	5211.4
0.005	257.0	1845.1	2499.8	3836.1	--undefined--
0.008	1564.3	2437.0	3563.4	4508.2	--undefined--
0.008	1190.4	2225.4	3173.9	3856.9	--undefined--
0.006	578.8	1336.4	2501.1	3600.5	4897.9
0.003	556.9	1302.8	2492.9	3512.2	4993.8
0.003	560.8	1298.4	2462.7	3457.3	5118.8
0.002	432.2	1189.2	2395.2	3456.9	5067.5
0.0004	228.6	1343.1	2413.0	3620.6	4637.2
0.0004	228.9	1377.6	2439.6	3485.5	4589.0
0.005	1326.6	2426.9	3325.5	4001.3	--undefined--
0.007	476.3	2260.8	2430.4	3426.1	4236.2
0.012	460.7	2083.4	2685.6	3545.8	4538.9
0.017	446.1	2202.1	2893.8	3606.3	4469.1
0.017	450.0	2190.5	2929.2	3609.8	4470.0
0.014	451.7	2184.1	2970.3	3569.5	4597.0
0.013	453.4	2179.7	2758.4	3470.2	4290.6
0.005	490.9	2142.9	2155.5	3391.7	4207.4
0.0006	313.5	2159.8	2987.9	3495.8	--undefined--
0.00003	889.1	2148.8	3376.3	3991.5	--undefined--
0.000009	1236.7	2075.0	3425.8	4158.3	--undefined--
0.00002	1308.1	2420.9	3384.5	3909.6	--undefined--
0.0002	1473.1	2675.1	3386.6	4390.3	--undefined--
0.0002	1529.9	3279.8	3307.7	4063.6	--undefined--
0.0006	1164.6	2665.3	3307.7	4651.4	--undefined--
0.005	1145.8	2560.9	3670.4	4681.8	--undefined--
0.007	54.4	1249.3	2532.9	3477.5	4332.9
0.013	1321.6	2460.4	3381.3	4286.8	--undefined--
0.051	365.4	1647.0	2622.2	3429.7	4994.0
0.154	654.6	2072.3	2663.5	3651.0	--undefined--
0.154	672.4	2173.5	2825.3	3688.4	--undefined--
0.170	744.8	2219.7	2858.4	3734.1	--undefined--
0.182	514.6	2223.2	2893.3	3727.3	--undefined--
0.219	465.0	2257.5	2951.0	3909.6	--undefined--
0.232	1171.6	2270.1	2977.8	3970.2	--undefined--
