intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.00004	352.4	1467.6	2652.2	4056.6	--undefined--
0.00010	331.9	1464.3	2680.7	3851.3	--undefined--
0.0002	342.4	1435.2	2584.0	3608.2	--undefined--
0.0004	363.8	1232.6	2432.2	3460.7	--undefined--
0.003	399.5	1161.3	2632.8	3761.3	--undefined--
0.017	442.7	851.1	2842.3	3363.1	--undefined--
0.034	672.2	941.2	2805.3	3312.3	--undefined--
0.074	740.1	1170.4	2895.0	3557.5	--undefined--
0.074	919.7	1186.5	2831.2	3490.3	3870.4
0.064	920.2	1212.3	2732.9	3331.6	3954.3
0.089	949.4	1444.8	2666.5	3138.9	3537.1
0.108	946.5	1489.7	2402.8	3216.3	3755.4
0.178	945.9	1609.8	2400.2	3390.1	3962.3
0.290	817.0	1745.5	2500.6	3558.7	3822.6
0.290	753.3	1854.7	2775.8	3858.8	4216.5
0.071	607.7	1904.6	2858.2	3938.1	--undefined--
0.071	512.2	2007.1	2768.0	3847.7	--undefined--
0.040	500.0	2035.9	2827.4	3779.2	4691.7
0.023	470.3	1982.3	2809.9	3566.9	4377.6
0.015	389.3	1850.8	2849.3	3515.6	4272.7
0.015	384.2	1949.3	2712.9	3454.8	4529.0
0.010	445.4	2022.3	2771.9	3371.8	4794.5
0.011	351.6	2191.6	2861.4	3464.9	--undefined--
0.020	368.1	2246.0	2890.1	3487.4	--undefined--
0.027	380.6	2263.8	2880.2	3479.3	--undefined--
0.027	371.0	2246.3	2755.3	3459.6	5379.7
0.012	363.2	2324.8	2780.3	3538.8	--undefined--
0.002	332.0	2357.8	2819.3	3932.1	4998.9
0.009	390.9	2570.6	3386.1	4502.4	--undefined--
0.010	1327.9	2628.1	3658.3	4861.1	--undefined--
0.016	447.0	2490.3	3525.0	4403.9	5333.3
0.016	485.1	2543.2	3685.0	4773.4	--undefined--
0.007	707.8	2449.0	3677.7	4616.5	--undefined--
0.002	458.0	2310.2	3825.7	4982.8	--undefined--
0.030	454.7	1585.4	2501.4	3467.3	--undefined--
0.081	632.1	1512.2	2517.2	3270.0	5244.9
0.077	771.8	1512.7	2716.8	3374.6	5008.5
0.077	747.8	1560.0	2531.3	3304.5	--undefined--
0.047	713.8	1621.9	2431.6	3351.8	4355.1
0.060	636.2	1551.9	2321.6	3436.1	4691.7
0.056	552.4	1494.2	2104.5	3431.5	3755.6
0.026	247.2	1371.3	2033.5	3482.3	--undefined--
0.009	404.1	1347.7	2088.4	3399.9	--undefined--
0.003	389.4	1003.8	2108.2	3336.0	--undefined--
0.002	393.4	1423.2	2448.9	3433.7	--undefined--
0.0010	453.2	1247.6	3178.9	3618.7	--undefined--
0.002	492.1	1250.5	3350.8	3576.2	--undefined--
0.004	494.5	1187.2	3388.1	3580.2	--undefined--
0.028	433.7	893.9	3376.3	3718.9	--undefined--
0.028	592.2	1012.0	3323.1	3686.6	--undefined--
0.077	802.4	1325.4	3164.5	3700.2	4691.4
0.077	1098.9	1199.5	2988.4	3763.3	4971.3
0.020	945.4	1451.4	3173.8	3846.5	4891.7
0.051	867.4	1482.9	2890.3	3874.5	4468.9
0.049	950.8	1564.7	2968.8	3768.5	4754.2
0.282	587.9	1500.2	2826.3	3762.3	4871.6
0.353	919.8	1434.9	3413.9	3618.2	--undefined--
0.342	901.3	1434.0	3226.3	3767.1	--undefined--
0.132	842.3	1415.4	3325.2	3779.5	3784.7
0.083	751.8	1524.7	1680.7	3606.1	3894.7
0.076	652.8	1559.5	2530.7	3591.8	3940.9
0.009	524.3	1558.7	2993.1	3845.6	--undefined--
0.002	445.3	1523.7	2892.6	3908.9	4261.1
0.004	499.7	1846.6	2724.8	3662.6	4444.6
0.004	450.5	2072.7	2685.8	3596.5	4278.5
0.004	587.9	2135.6	2827.5	3702.4	4328.2
0.004	456.5	1964.9	2746.5	3464.7	3869.1
0.0006	496.3	1936.6	3497.4	3686.3	--undefined--
0.0004	407.1	1651.2	3568.2	4024.6	4796.3
0.0005	456.0	1595.0	3384.3	4101.3	4886.8
0.0006	562.8	1563.5	3778.6	4667.5	4751.8
0.0005	559.3	1522.5	3433.9	4294.1	4969.8
0.002	453.0	1486.4	3683.4	3778.6	4883.0
0.017	539.8	1466.3	3575.1	4097.2	--undefined--
0.080	635.4	1562.2	2508.2	3604.4	--undefined--
0.083	680.2	1573.1	2489.2	3584.0	--undefined--
0.080	699.5	1573.5	2480.4	3665.6	4652.7
0.067	651.0	1536.9	2445.4	3691.9	4031.4
0.056	614.7	1493.9	2466.6	3741.8	3975.0
0.015	633.4	1468.4	2391.7	3599.3	--undefined--
0.0003	593.1	1480.0	2572.5	3681.2	--undefined--
0.0003	606.1	1565.6	2623.9	3702.3	--undefined--
0.00009	646.9	1619.8	2803.0	3914.6	--undefined--
0.00003	612.4	1494.7	2677.9	3888.4	5255.1
0.0006	1397.2	1663.1	4014.5	4486.8	--undefined--
0.001	1314.1	1929.7	3759.8	4780.3	--undefined--
0.009	378.3	1694.2	4095.3	4714.8	--undefined--
0.047	535.7	1641.5	2282.4	3821.3	--undefined--
0.056	459.0	2033.5	2364.6	3902.2	--undefined--
0.036	331.3	2081.4	2531.5	4009.2	5078.2
0.111	254.2	2184.3	2529.0	3464.1	5114.5
0.086	265.6	2248.8	2644.4	3724.5	5081.9
0.041	333.9	2251.8	2707.0	4156.7	--undefined--
0.028	2147.2	2856.3	4346.8	5186.0	--undefined--
0.028	2356.6	3135.2	4188.6	4983.3	--undefined--
0.028	2352.9	2471.1	4088.0	4921.0	--undefined--
0.028	2159.4	2763.8	4190.6	4660.6	--undefined--
0.025	2322.1	2908.2	3903.9	4597.2	--undefined--
0.0010	2007.4	2587.4	4059.9	4692.7	--undefined--
0.00009	1617.3	2395.2	3764.2	4582.2	--undefined--
0.00009	1191.8	2161.8	3742.9	4529.1	--undefined--
0.024	425.7	1056.4	3237.9	4315.5	--undefined--
0.024	765.5	1768.6	3189.6	4258.2	5103.4
0.071	524.2	1814.4	2756.9	4043.4	4505.5
0.100	738.1	1608.7	3350.1	4029.0	--undefined--
0.460	933.9	1037.9	2747.3	3850.6	--undefined--
0.460	903.5	1276.1	2650.2	3617.0	4696.6
0.229	840.5	1240.3	2705.1	3533.7	--undefined--
0.180	842.9	1323.6	2814.4	3761.4	5000.1
0.189	853.4	1294.9	2813.4	3875.7	5280.9
0.243	876.9	1250.9	2983.5	3710.2	--undefined--
0.239	895.5	1400.7	2875.2	3816.5	--undefined--
0.205	915.1	1390.9	2845.5	3751.1	--undefined--
0.270	950.1	1528.5	2735.5	3789.9	4959.6
0.299	836.9	1513.7	2513.7	3960.8	4582.8
0.191	802.7	1384.9	2397.6	4000.9	4855.4
0.009	1230.5	1941.0	3305.1	4366.7	--undefined--
0.004	831.9	1692.4	2965.6	4120.1	--undefined--
0.0006	970.1	1489.5	2805.4	4164.3	4952.6
0.0003	1007.6	1490.8	2751.1	3834.7	--undefined--
0.0002	915.1	1583.9	2739.5	3936.8	--undefined--
0.005	875.8	2110.7	3642.6	4202.8	4879.2
0.007	1620.9	2403.3	3909.4	4603.4	--undefined--
0.018	325.2	1927.1	2550.0	3991.8	5039.4
0.023	1675.6	2453.0	3910.0	5027.2	--undefined--
0.032	1391.2	2252.1	3238.6	3875.7	--undefined--
0.029	1067.5	2379.0	3093.0	3709.4	--undefined--
0.013	588.6	1359.2	2469.2	3672.6	4812.4
0.013	540.4	1283.0	2482.3	3431.9	5192.4
0.013	535.9	1263.6	2454.3	3453.5	5008.7
0.004	1118.3	2353.5	3513.5	4653.5	--undefined--
0.0009	164.1	1321.4	2436.2	3503.4	4854.5
0.002	966.2	2451.5	3849.1	3949.3	--undefined--
0.023	430.5	906.2	2367.2	3359.3	4064.0
0.032	462.7	2143.3	2734.8	3553.3	4308.7
0.051	442.8	2176.7	2738.1	3544.1	4560.3
0.067	448.8	2180.3	2941.8	3618.1	4530.4
0.056	443.6	2186.9	2996.6	3591.0	4515.2
0.053	458.2	2198.7	2907.5	3534.9	4374.5
0.020	478.5	2128.3	2434.4	3406.4	4244.1
0.005	374.5	1773.9	2389.9	3410.1	4104.9
0.0002	388.4	2051.4	2782.2	3473.7	4155.4
0.00003	1314.5	2153.8	3375.5	4395.6	--undefined--
0.000004	1224.0	2392.9	3588.6	4947.0	--undefined--
0.0008	1218.0	2562.1	2952.3	3854.0	--undefined--
0.001	1460.3	3076.5	3730.9	4320.7	--undefined--
0.001	1726.2	3450.8	3730.9	--undefined--	--undefined--
0.007	1072.6	2178.6	3113.8	4168.9	--undefined--
0.024	1175.5	2568.5	3331.9	4523.9	--undefined--
0.031	1306.2	2535.8	3437.7	4911.1	--undefined--
0.065	1323.6	2521.7	3290.7	4332.6	--undefined--
0.203	650.5	1880.4	2604.6	3463.3	4558.8
0.618	714.4	2141.6	2754.6	3737.2	--undefined--
0.595	533.9	2201.5	2847.5	3720.1	--undefined--
0.680	566.5	2209.8	2864.9	3702.0	--undefined--
0.727	523.9	2241.7	2910.3	3739.3	--undefined--
0.927	870.7	2257.4	2972.6	3963.6	--undefined--
0.927	482.5	2259.3	2803.2	3950.8	--undefined--
1.013	563.0	2113.3	2653.0	3414.3	4539.6
1.239	573.9	2106.7	2758.2	3670.1	4197.4
1.009	656.8	2125.4	2831.0	4054.8	--undefined--
1.009	662.7	2133.4	2886.9	3470.0	4323.5
0.847	678.5	2129.1	2897.2	3342.9	4364.0
0.813	701.4	2123.1	2801.3	3543.2	4441.8
0.700	627.6	2097.6	2649.0	3492.5	4263.8
0.471	678.9	2066.8	2494.8	3298.2	4295.3
0.481	655.5	2093.1	2466.6	3102.6	4270.1
0.537	618.1	2195.0	2597.3	3344.8	4157.7
0.432	592.3	2212.1	2746.5	3759.7	4414.5
0.286	601.3	2232.6	2694.5	3695.9	4724.7
0.226	559.5	2320.2	2862.6	3733.6	--undefined--
0.156	525.4	2243.8	2719.1	3691.9	--undefined--
0.088	550.9	2291.6	2649.8	3762.6	--undefined--
0.058	517.7	2287.0	2638.7	3829.3	--undefined--
0.035	473.6	2221.7	2600.1	3789.9	--undefined--
0.016	474.8	2142.5	2570.8	3711.3	--undefined--
0.003	391.5	1965.7	2460.7	3672.8	--undefined--
0.001	304.1	1905.2	2499.0	3865.0	--undefined--
0.0003	1754.6	2490.8	4196.8	5106.3	--undefined--
