intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.00004	343.6	1482.7	2684.8	4080.8	--undefined--
0.00009	334.5	1473.2	2789.6	3880.4	--undefined--
0.0002	345.6	1427.5	2553.3	3571.2	--undefined--
0.0003	367.7	1048.7	2383.3	3430.9	--undefined--
0.002	396.0	1181.5	2556.1	3799.8	--undefined--
0.009	444.3	856.2	2869.9	3418.7	--undefined--
0.034	682.3	950.9	2819.1	3334.2	--undefined--
0.046	743.1	1169.9	2919.2	3540.8	--undefined--
0.074	933.4	1195.8	2840.5	3518.5	3523.6
0.064	933.4	1210.5	2745.0	3326.5	3974.1
0.089	942.4	1445.0	2676.3	3135.5	3540.4
0.080	940.8	1481.7	2402.7	3227.3	3769.4
0.143	939.3	1602.5	2432.8	3394.5	3960.4
0.290	819.5	1738.2	2480.6	3530.6	3851.0
0.284	755.3	1862.7	2791.9	3694.6	3890.6
0.071	611.5	1907.8	2884.2	3944.2	--undefined--
0.070	512.4	2008.5	2780.2	3854.3	--undefined--
0.040	503.0	2036.4	2824.6	3795.8	4399.7
0.023	439.2	2002.2	2834.9	3565.0	4374.2
0.012	392.6	1841.9	2838.1	3518.2	4274.3
0.015	313.6	1911.7	2693.4	3434.1	4398.3
0.010	432.1	2018.1	2779.6	3374.7	4560.6
0.010	345.8	2186.4	2856.9	3460.9	--undefined--
0.016	366.5	2241.2	2900.0	3485.8	--undefined--
0.025	394.0	2257.6	2870.6	3468.1	--undefined--
0.027	378.4	2231.4	2752.5	3476.2	5040.2
0.012	357.8	2317.1	2778.4	3575.7	--undefined--
0.002	334.1	2349.2	2852.7	3926.9	4999.1
0.009	442.3	2580.2	3369.6	4487.3	--undefined--
0.010	1466.2	2646.0	3686.7	4909.0	--undefined--
0.009	399.0	2490.0	3505.0	4381.8	5320.0
0.016	481.0	2552.8	3670.9	4785.2	--undefined--
0.007	713.0	2442.4	3671.4	4607.5	--undefined--
0.001	462.1	2161.8	3048.2	3784.6	4998.5
0.023	448.6	1586.8	2513.1	3456.4	--undefined--
0.081	627.4	1511.4	2517.4	3254.7	5143.9
0.057	758.4	1504.2	2749.6	3359.9	4869.8
0.077	753.5	1566.1	2550.1	3309.8	--undefined--
0.039	722.3	1636.0	2475.7	3392.4	4335.8
0.060	628.8	1563.1	2324.1	3446.3	5036.8
0.056	543.3	1483.9	2096.0	3372.1	3754.8
0.026	329.1	1387.0	1995.4	3486.8	4143.6
0.009	396.8	1370.6	2094.2	3396.1	--undefined--
0.003	387.1	993.4	2117.3	3303.8	--undefined--
0.001	403.0	1385.5	2497.5	3434.6	--undefined--
0.0009	467.7	1245.3	3150.2	3620.1	--undefined--
0.002	495.3	1255.4	3340.4	3587.1	--undefined--
0.003	498.1	1202.0	3398.6	3577.2	--undefined--
0.028	421.2	881.2	3379.2	3679.4	--undefined--
0.026	595.5	1014.1	3326.4	3694.4	--undefined--
0.017	818.1	1335.5	3198.9	3708.6	4665.6
0.077	1055.1	1218.9	3011.7	3790.3	4903.9
0.011	917.4	1462.9	3120.7	3821.0	4971.5
0.051	835.3	1476.5	2883.9	3853.6	4432.8
0.049	1011.8	1550.6	2792.5	3728.2	4795.6
0.033	589.0	1514.7	2866.0	3809.6	4846.7
0.353	920.1	1394.5	3490.7	3605.3	--undefined--
0.176	890.8	1434.9	3312.5	3780.0	--undefined--
0.132	851.7	1413.2	3358.6	3782.0	3946.4
0.076	741.6	1529.6	1689.0	3633.6	3911.0
0.061	649.2	1551.2	2409.5	3573.0	3952.0
0.005	513.4	1571.0	2977.5	3865.5	--undefined--
0.002	453.9	1554.4	2940.7	3922.7	--undefined--
0.004	487.1	1638.7	2899.7	3672.4	4489.2
0.003	445.1	2073.0	2689.5	3632.0	4037.3
0.003	575.1	2133.9	2815.0	3699.0	4480.5
0.004	452.2	1851.7	2804.6	3452.8	3877.2
0.0005	509.6	1920.0	3474.9	3640.4	--undefined--
0.0004	406.3	1660.2	3562.3	4018.9	4812.5
0.0005	501.8	1577.9	3330.8	4014.8	4943.8
0.0006	557.6	1569.7	3744.4	4622.3	4703.3
0.0005	536.9	1529.4	3457.3	4333.8	4953.5
0.001	480.1	1495.3	3661.3	3774.1	4878.3
0.006	522.7	1475.8	3573.9	4297.5	--undefined--
0.079	626.7	1557.3	2510.3	3601.8	--undefined--
0.083	673.8	1568.7	2480.5	3578.3	--undefined--
0.075	689.2	1567.2	2473.0	3656.5	4613.2
0.067	644.6	1533.2	2425.9	3681.4	3981.5
0.048	612.4	1491.8	2465.6	3745.7	3996.0
0.004	626.8	1467.3	2363.5	3574.3	--undefined--
0.0003	592.7	1503.4	2616.6	3728.8	--undefined--
0.0002	622.3	1568.0	2613.8	3770.6	--undefined--
0.00009	655.7	1618.4	2833.2	3969.3	--undefined--
